,DCGAN-6080-1,DCGAN-6080-2,DCGAN-6080-3,PGGAN-6080-2
3,0.0875,0.09588815789473684,0.08980263157894737,0.5886513157894737
5,0.2194078947368421,0.22615131578947367,0.22450657894736842,0.8529605263157894
6,0.28421052631578947,0.2845394736842105,0.2879934210526316,0.9055921052631579
7,0.34342105263157896,0.3444078947368421,0.3504934210526316,0.9363486842105263
8,0.3988486842105263,0.40148026315789476,0.4,0.9606907894736842
9,0.44967105263157897,0.45394736842105265,0.45263157894736844,0.9733552631578948
10,0.5034539473684211,0.4993421052631579,0.4986842105263158,0.9830592105263158
20,0.7457236842105263,0.7411184210526316,0.7430921052631579,0.9986842105263158
30,0.8478618421052632,0.8412828947368421,0.8353618421052632,0.9998355263157894
40,0.8980263157894737,0.8911184210526316,0.8875,1.0
50,0.9253289473684211,0.9210526315789473,0.9182565789473685,1.0
60,0.9458881578947368,0.9409539473684211,0.9417763157894737,1.0
70,0.9595394736842106,0.9580592105263158,0.953125,1.0
80,0.969078947368421,0.968421052631579,0.9639802631578948,1.0
90,0.977796052631579,0.9759868421052632,0.9738486842105263,1.0
100,0.9820723684210526,0.9820723684210526,0.9804276315789474,1.0
