,DCGAN-6080-1,DCGAN-6080-2,DCGAN-6080-3,PGGAN-6080-2
3,0.09336622807017543,0.09742324561403509,0.09638157894736843,0.550219298245614
5,0.15891447368421052,0.16384868421052634,0.16151315789473686,0.7188486842105264
6,0.1828125,0.18475877192982454,0.1858826754385965,0.7588815789473684
7,0.2069548872180451,0.2049812030075188,0.20796522556390976,0.7863721804511277
8,0.2262952302631579,0.22393092105263157,0.22401315789473683,0.8091077302631579
9,0.24042397660818712,0.24053362573099413,0.24166666666666664,0.829093567251462
10,0.2554276315789474,0.25324013157894737,0.25648026315789474,0.8410361842105264
20,0.3558305921052632,0.35339638157894737,0.3597039473684211,0.9035526315789474
30,0.41396381578947367,0.40941885964912283,0.41907894736842105,0.9204276315789474
40,0.4481990131578948,0.44078536184210526,0.45248766447368427,0.9309333881578947
50,0.47462828947368424,0.46583552631578945,0.47855592105263156,0.9366447368421053
60,0.4941173245614035,0.4846080043859649,0.49837993421052634,0.9398108552631579
70,0.512781954887218,0.501954887218045,0.5148801691729323,0.9425399436090225
80,0.5269942434210527,0.5160978618421053,0.5275513980263158,0.9433902138157896
90,0.5402887426900584,0.5277394005847953,0.5399360380116959,0.9463340643274853
100,0.5523634868421052,0.5383552631578947,0.551266447368421,0.9484194078947369
