,DCGAN-6080-1,DCGAN-6080-2,DCGAN-6080-3,PGGAN-6080-2
3,0.19967105263157894,0.2026315789473684,0.20411184210526315,0.7065789473684211
5,0.40016447368421054,0.4,0.3988486842105263,0.8876644736842105
6,0.4700657894736842,0.4667763157894737,0.4743421052631579,0.9200657894736842
7,0.5404605263157894,0.5314144736842106,0.5371710526315789,0.9417763157894737
8,0.5955592105263158,0.5879934210526315,0.5809210526315789,0.95625
9,0.6394736842105263,0.6299342105263158,0.6220394736842105,0.9651315789473685
10,0.671546052631579,0.6651315789473684,0.6610197368421052,0.9733552631578948
20,0.8555921052631579,0.8578947368421053,0.8536184210526315,0.9940789473684211
30,0.9202302631578947,0.91875,0.9154605263157894,0.9976973684210526
40,0.9488486842105263,0.9513157894736842,0.9453947368421053,0.9986842105263158
50,0.965625,0.9652960526315789,0.9592105263157895,0.9993421052631579
60,0.9751644736842106,0.9759868421052632,0.9680921052631579,0.9993421052631579
70,0.9804276315789474,0.9825657894736842,0.9735197368421052,0.9995065789473684
80,0.9850328947368421,0.9856907894736842,0.9794407894736842,0.999671052631579
90,0.9868421052631579,0.9884868421052632,0.984046052631579,0.9998355263157894
100,0.9898026315789473,0.990625,0.9858552631578947,0.9998355263157894
