,DCGAN-6080-1,DCGAN-6080-2,DCGAN-6080-3,PGGAN-6080-2
3,0.3547697368421053,0.33421052631578946,0.3363486842105263,0.8777960526315789
5,0.4944078947368421,0.49046052631578946,0.49161184210526315,0.9504934210526316
6,0.5544407894736842,0.5491776315789474,0.5460526315789473,0.9628289473684211
7,0.6044407894736842,0.6011513157894737,0.5904605263157895,0.9710526315789474
8,0.6486842105263158,0.6411184210526316,0.6365131578947368,0.9766447368421053
9,0.6830592105263158,0.6771381578947369,0.6735197368421053,0.9802631578947368
10,0.7131578947368421,0.7131578947368421,0.7021381578947369,0.9838815789473684
20,0.8697368421052631,0.8789473684210526,0.8786184210526315,0.9965460526315789
30,0.9300986842105263,0.9332236842105263,0.9361842105263158,0.9988486842105263
40,0.9550986842105263,0.9613486842105263,0.9611842105263158,0.999671052631579
50,0.9712171052631579,0.9733552631578948,0.9758223684210526,0.999671052631579
60,0.9799342105263158,0.9817434210526316,0.9828947368421053,0.999671052631579
70,0.9860197368421053,0.9866776315789474,0.9875,0.999671052631579
80,0.9899671052631579,0.9901315789473685,0.990625,0.999671052631579
90,0.9925986842105263,0.9912828947368421,0.9919407894736842,0.999671052631579
100,0.9940789473684211,0.9935855263157894,0.9939144736842105,0.999671052631579
